

 noise gain  : 0.1

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.011734 , average_magnitude : 77.011734 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.314369 , average_magnitude : 78.663055 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 76.639732 , average_magnitude : 77.988617 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 75.739128 , average_magnitude : 77.426247 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 76.462799 , average_magnitude : 77.233559 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.408989 , average_magnitude : 77.429466 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.781311 , average_magnitude : 76.622581 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.138794 , average_magnitude : 76.687111 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.286819 , average_magnitude : 76.753746 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 82.511742 , average_magnitude : 77.329544 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.709450 , average_magnitude : 77.000443 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.132492 , average_magnitude : 76.761452 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.000992 , average_magnitude : 76.779877 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.754448 , average_magnitude : 76.778061 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.029663 , average_magnitude : 76.328163 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 70.896484 , average_magnitude : 75.988686 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.314903 , average_magnitude : 75.831406 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.080025 , average_magnitude : 75.789665 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.943932 , average_magnitude : 75.534630 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.879761 , average_magnitude : 75.401886 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 76.341835 , average_magnitude : 75.446640 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.847076 , average_magnitude : 75.555748 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.262726 , average_magnitude : 75.499527 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 78.776344 , average_magnitude : 75.636063 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.501724 , average_magnitude : 75.590691 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.914726 , average_magnitude : 75.603149 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.308357 , average_magnitude : 75.518158 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 75.402985 , average_magnitude : 75.514046 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.475967 , average_magnitude : 75.374809 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.202171 , average_magnitude : 75.469048 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.791962 , average_magnitude : 75.318176 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.737938 , average_magnitude : 75.300049 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.303673 , average_magnitude : 75.360764 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.044662 , average_magnitude : 75.498528 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.668633 , average_magnitude : 75.446251 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 78.301537 , average_magnitude : 75.525566 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 76.157364 , average_magnitude : 75.542648 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.934929 , average_magnitude : 75.579285 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.860123 , average_magnitude : 75.560844 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.657318 , average_magnitude : 75.538254 
Decode NSSS - fr

 noise gain  : 0.105

