

 nb subcarrier : 1, subcarrier index0

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 85.279930 , average_magnitude : 85.279930 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 85.685883 , average_magnitude : 85.482910 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 81.770195 , average_magnitude : 84.245338 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 84.128159 , average_magnitude : 84.216049 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 84.806152 , average_magnitude : 84.334068 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 83.251358 , average_magnitude : 84.153618 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 82.303902 , average_magnitude : 83.889366 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.371277 , average_magnitude : 83.074608 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 80.945770 , average_magnitude : 82.838066 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 89.046066 , average_magnitude : 83.458870 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.373512 , average_magnitude : 82.542023 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 81.116837 , average_magnitude : 82.423256 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 85.253914 , average_magnitude : 82.640999 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 83.737160 , average_magnitude : 82.719299 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 82.103996 , average_magnitude : 82.678276 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 86.503250 , average_magnitude : 82.917343 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 84.409622 , average_magnitude : 83.005127 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 87.733688 , average_magnitude : 83.267822 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 80.577354 , average_magnitude : 83.126221 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 82.805725 , average_magnitude : 83.110191 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 86.467621 , average_magnitude : 83.270073 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 88.374641 , average_magnitude : 83.502098 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 83.767059 , average_magnitude : 83.513618 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 79.818390 , average_magnitude : 83.359650 
